Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Precipitation,Sky,Wind,Ground Condition,Ground Roughness,Ground Vegetation,Depth of Ground Vegetation (cm),Canopy
NW,OF,2,2020-02-12T13:10,13,452901,4431878,40.03581,-105.55206,Heavy,Overcast(complete cover),Light,Frozen,Rough,Grass | Shrub,20,Open (20-70%)
NW,FF,2,2020-03-11T09:20,13,453318,4431439,40.03188,-105.54714,None,Few (< 1/4 of sky),Moderate,Frozen,Rough,Shrub,5,Closed (>70%)
NW,FF,1,2020-03-11T09:45,13,453320,453320,4.10115,-105.42057,None,Clear,Moderate,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FF,3,2020-03-11T09:50,13,453313,4431444,40.03193,-105.5472,None,Clear,Moderate,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FN,1,2020-03-11T11:00,13,452778,4431584,40.03316,-105.55348,None,Few (< 1/4 of sky),Moderate,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FN,2,2020-03-11T11:30,13,452773,4431592,40.03323,-105.55354,None,Few (< 1/4 of sky),Moderate,Frozen,Rough,Grass,,Closed (>70%)
NW,FN,3,2020-03-11T12:00,13,452767,4431587,40.03318,-105.55361,None,Few (< 1/4 of sky),Moderate,Frozen,Smooth,Deadfall,,Open (20-70%)
NW,OF,2,2020-04-22T11:55,13,452917,4431863,40.03568,-105.55187,None,Broken (> 1/2 of sky),Extreme,Frozen,Rough,Grass | Shrub,5,No Trees
NW,OF,1,2020-03-11T11:00,13,452898,4431871,40.03575,-105.55209,None,Few (< 1/4 of sky),Strong,Moist,Rough,Grass | Shrub,,Sparse (5-20%)
NW,FF,1,2020-05-13T09:55,13,453353,4431394,40.03148,-105.54673,None,Few (< 1/4 of sky),Light,Moist,Smooth,Grass,10,Open (20-70%)
NW,OF,2,2020-03-11T11:18,13,452907,4431864,40.03569,-105.55199,None,Clear,Moderate,Frozen,Smooth,Shrub,24,No Trees
NW,OF,3,2020-03-11T11:45,13,452914,4431869,40.03573,-105.5519,None,Clear,Strong,Frozen,Rugged,Shrub,23,No Trees
NW,FF,1,2020-04-22T13:10,13,453629,4431578,40.03315,-105.5435,None,Broken (> 1/2 of sky),Extreme,Frozen,Rough,Grass | Shrub,5,No Trees
NW,OF,1,2020-04-22T10:54,13,452917,4431863,40.03568,-105.55187,None,Broken (> 1/2 of sky),Extreme,Frozen,Rough,Grass | Shrub,5,No Trees
NW,FF,2,2020-05-13T10:30,13,453357,453357,4.10148,-105.42023,None,Few (< 1/4 of sky),Light,Frozen,Rough,Shrub,,Open (20-70%)
NW,FF,3,2020-05-13T09:30,13,453356,4431402,40.03155,-105.54669,None,Few (< 1/4 of sky),Light,Frozen,Rough,Shrub,,Open (20-70%)
NW,FN,2,2020-05-13T09:44,13,452713,4431634,40.0336,-105.55424,None,Clear,Light,Saturated,Smooth,Grass,10,Closed (>70%)
NW,FN,1,2020-05-13T10:00,13,452712,4431637,40.03363,-105.55426,None,Clear,Light,Saturated,Smooth,Bare,,Closed (>70%)
NW,FN,3,2020-05-13T10:24,13,452726,4431635,40.03361,-105.55409,None,Clear,Light,Saturated,Smooth,Bare,,Closed (>70%)
NW,FN,4,2020-05-13T10:48,13,452731,4431645,40.0337,-105.55403,None,Clear,Light,Moist,Smooth,Shrub,10,Closed (>70%)
NW,FS,1,2020-05-13T10:00,13,452490,4432370,40.04022,-105.55691,None,Clear,Light,Frozen,Smooth,Shrub | Deadfall,,Closed (>70%)
NW,FS,2,2020-05-13T09:30,13,452490,4432387,40.04037,-105.55691,None,Clear,Light,Frozen,Rough,Shrub | Deadfall,,Closed (>70%)
NW,FS,3,2020-05-13T09:15,13,452496,4432375,40.04027,-105.55684,None,Few (< 1/4 of sky),Light,Moist,Smooth,Deadfall,,Open (20-70%)
NW,FS,4,2020-05-13T09:45,13,452506,4432385,40.04036,-105.55672,None,Clear,Light,Frozen,Rough,Shrub | Deadfall,,Closed (>70%)
NW,OF,1,2020-05-13T10:50,13,452892,4431872,40.03576,-105.55216,None,Few (< 1/4 of sky),Light,Frozen,Rough,Shrub,,No Trees
NW,OF,3,2020-05-13T11:30,13,452907,4431858,40.03563,-105.55199,None,Few (< 1/4 of sky),Light,Saturated,Rugged,Shrub,15,No Trees
NW,OF,4,2020-05-13T11:15,13,452914,4431858,40.03563,-105.5519,None,Few (< 1/4 of sky),Light,Saturated,Smooth,Shrub,,No Trees
NW,OF,1,2020-01-22T11:40,13,452872,4431903,40.03604,-105.5524,Light,Broken (> 1/2 of sky),Extreme,Frozen,Rugged,Grass | Shrub,20,No Trees
NW,OF,2,2020-01-22T11:15,13,452886,4431903,40.03604,-105.55224,None,Broken (> 1/2 of sky),Extreme,Frozen,Rough,Grass | Shrub,5 | 5,No Trees
NW,FN,1,2020-01-22T12:45,13,452757,452757,4.09605,-105.42564,None,Scattered (1/4 - 1/2 of sky),Strong,Frozen,Smooth,Shrub,10,Open (20-70%)
NW,FN,3,2020-01-22T13:00,13,452786,4431582,40.03314,-105.55338,None,Scattered (1/4 - 1/2 of sky),Strong,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FS,2,2020-01-22T14:25,13,452485,4432379,40.0403,-105.55697,None,Broken (> 1/2 of sky),Strong,Frozen,Smooth,Grass,10,Open (20-70%)
NW,FS,3,2020-01-22T14:00,13,452491,4432381,40.04032,-105.5569,None,Scattered (1/4 - 1/2 of sky),Moderate,Frozen,Rough,Deadfall,,Closed (>70%)
NW,FS,2,2020-03-11T10:45,13,328389,4310494,38.92659,-106.97971,None,Few (< 1/4 of sky),Strong,Moist,Rough,Grass | Shrub | Deadfall,30,Open (20-70%)
NW,FS,1,2020-03-11T10:00,13,452462,4432383,40.04034,-105.55724,None,Clear,Moderate,Moist,Rough,Bare,,Open (20-70%)
NW,FS,3,2020-03-11T11:10,13,452462,4432373,40.04025,-105.55724,None,Scattered (1/4 - 1/2 of sky),Strong,Moist,Rough,Shrub | Deadfall,,Open (20-70%)
NW,OF,2,2020-05-13T11:00,13,452897,4431870,40.03574,-105.5521,None,Few (< 1/4 of sky),Light,Saturated,Rough,Grass,20,No Trees
