Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Latitude (deg),Longitude (deg),Precipitation,Sky,Wind,Ground Condition,Ground Roughness,Ground Vegetation,Depth of Ground Vegetation (cm),Canopy
Boise River Basin,Bogus Upper,IDBRBU,2020-02-14T12:30,11N,573240,4845491,43.75884,-116.09017,None,Few (< 1/4 of sky),Light,Moist,Smooth,Grass,10,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-02-20T11:00,11N,573240,4845491,43.75884,-116.09017,None,Broken (> 1/2 of sky),Moderate,Moist,Smooth,Grass,5,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-02-26T14:45,11N,573240,4845491,43.75884,-116.09017,None,Scattered (1/4 - 1/2 of sky),Light,Moist,Smooth,Grass | Shrub,3-5 | 10,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-03-04T14:55,11N,573240,4845491,43.75884,-116.09017,None,Few (< 1/4 of sky),Light,Frozen,Smooth,Shrub,14,Sparse (5-20%)
Boise River Basin,Bogus Upper,IDBRBU,2020-03-11T15:00,11N,573240,4845491,43.75884,-116.09017,None,Clear,Light,Moist,Smooth,Shrub,23,Sparse (5-20%)
Boise River Basin,LDP Open,IDBRLO,2020-01-22T15:12,11N,570716,4843040,43.73702,-116.12184,None,Few (< 1/4 of sky),Calm,Frozen,Rough,Shrub,21,No Trees
Boise River Basin,LDP Open,IDBRLO,2020-01-31T09:26,11N,570716,4843040,43.73702,-116.12184,None,Overcast(complete cover),Calm,Frozen,Smooth,Shrub,12,No Trees
Boise River Basin,LDP Open,IDBRLO,2020-02-12T15:19,11N,570716,4843040,43.73702,-116.12184,None,Clear,Light,Frozen,Rough,Shrub,12,No Trees
Boise River Basin,LDP Open,IDBRLO,2020-02-20T08:45,11N,570716,4843040,43.73702,-116.12184,None,Few (< 1/4 of sky),Moderate,Moist,Rough,Shrub,18,No Trees
Boise River Basin,LDP Open,IDBRLO,2020-02-26T09:28,11N,570716,4843040,43.73702,-116.12184,None,Scattered (1/4 - 1/2 of sky),Calm,Moist,Rough,Grass | Shrub,30 | 33,No Trees
Boise River Basin,LDP Open,IDBRLO,2020-03-04T12:10,11N,570716,4843040,43.73702,-116.12184,None,Scattered (1/4 - 1/2 of sky),Light,Saturated,Smooth,Bare,,No Trees
Boise River Basin,LDP Open,IDBRLO,2020-03-11T10:30,11N,570716,4843040,43.73702,-116.12184,None,Few (< 1/4 of sky),Calm,Moist,Rough,Bare,,No Trees
Boise River Basin,LDP Tree,IDBRLT,2020-01-22T13:24,11N,570823,4842965,43.73634,-116.12052,None,Few (< 1/4 of sky),Calm,Moist,Rough,Deadfall,,Closed (>70%)
Boise River Basin,LDP Tree,IDBRLT,2020-01-31T11:15,11N,570823,4842965,43.73634,-116.12052,Very Light,Overcast(complete cover),Calm,Frozen,Rough,Deadfall,10,Closed (>70%)
Boise River Basin,LDP Tree,IDBRLT,2020-02-12T14:00,11N,570823,4842965,43.73634,-116.12052,None,Clear,Light,Frozen,Rough,Shrub,5,Closed (>70%)
Boise River Basin,LDP Tree,IDBRLT,2020-02-20T10:42,11N,570823,4842965,43.73634,-116.12052,None,Few (< 1/4 of sky),Calm,Frozen,Rough,Grass | Shrub,3 | 10,Closed (>70%)
Boise River Basin,LDP Tree,IDBRLT,2020-02-26T11:15,11N,570823,4842965,43.73634,-116.12052,None,Scattered (1/4 - 1/2 of sky),Calm,Moist,Rough,Deadfall,3,Closed (>70%)
Boise River Basin,LDP Tree,IDBRLT,2020-03-04T11:11,11N,570823,4842965,43.73634,-116.12052,None,Broken (> 1/2 of sky),Light,Saturated,Rough,Deadfall,4,Closed (>70%)
Boise River Basin,LDP Tree,IDBRLT,2020-03-11T12:17,11N,570823,4842965,43.73634,-116.12052,None,Clear,Light,Moist,Rough,Deadfall,True,Closed (>70%)
Boise River Basin,Mores Creek Summit,IDBRMC,2020-02-12T11:00,11N,606192,4866876,43.94735,-115.67666,None,Clear,Moderate,Moist,Rough,Grass | Shrub,15,No Trees
Boise River Basin,Mores Creek Summit,IDBRMC,2020-03-11T12:00,11N,606192,4866876,43.94735,-115.67666,None,Clear,Calm,Moist,Rough,Grass | Shrub,15,No Trees
